Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
0,27,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=62880,dport=53,1
0,27,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.50.73.9,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56599,dport=443,1
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=62290,dport=53,2
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.225,mac=F4:46:37:8B:43:36,protocol=udp,sport=62290,dport=53,2
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=40.119.249.228,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56600,dport=443,1
0,45,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=52142,dport=53,2
0,45,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.225,mac=F4:46:37:8B:43:36,protocol=udp,sport=52142,dport=53,2
0,45,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=136.143.189.136,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56601,dport=443,2
22,26,6,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=136.143.189.136,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56601,dport=443,2
1,39,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=52737,dport=53,2
1,39,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.225,mac=F4:46:37:8B:43:36,protocol=udp,sport=52737,dport=53,2
1,39,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=62064,dport=53,1
1,39,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=192.111.5.2,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56604,dport=443,1
1,39,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=137.135.216.188,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56605,dport=443,1
2,44,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=56986,dport=53,1
2,44,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=13.69.109.131,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56606,dport=443,1
3,1,11,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.199.120.151,mac=F4:46:37:8B:43:36,protocol=tcp,sport=49408,dport=443,4
23,1,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.199.120.151,mac=F4:46:37:8B:43:36,protocol=tcp,sport=49408,dport=443,4
23,1,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.199.120.151,mac=F4:46:37:8B:43:36,protocol=tcp,sport=49408,dport=443,4
43,1,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.199.120.151,mac=F4:46:37:8B:43:36,protocol=tcp,sport=49408,dport=443,4
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=50781,dport=53,1
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=10.3.1.1,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56607,dport=135,1
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=10.3.1.1,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56608,dport=49669,1
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=10.3.1.1,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56609,dport=389,1
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=10.3.1.1,mac=F4:46:37:8B:43:36,protocol=udp,sport=50782,dport=389,1
3,22,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=10.3.1.1,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56610,dport=445,1
3,24,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=61677,dport=53,1
