Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=172.18.14.96,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=64461,dport=53,1
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=172.18.14.96,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=59845,dport=53,1
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=172.18.14.96,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=57965,dport=53,1
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=172.18.14.96,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=62608,dport=53,1
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.251,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
5,7,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.253,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
23,12,38,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.38.125,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
23,12,38,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.38.253,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
23,12,38,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.125,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
52,59,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.38.125,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
52,59,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.38.253,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
52,59,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.125,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
11,2,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.123,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
11,2,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.118,dst=17.253.54.251,mac=F4:D4:88:8A:A4:63,protocol=udp,sport=123,dport=123,16
