Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=20.199.120.182,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=49447,dport=443,4
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=20.199.120.182,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=49447,dport=443,4
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=20.199.120.182,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=49447,dport=443,4
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=20.199.120.182,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=49447,dport=443,4
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.10.236,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55010,dport=443,3
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.10.236,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55010,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.10.236,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55010,dport=443,3
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54961,dport=443,3
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54961,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54961,dport=443,3
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=192.111.5.1,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55077,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=192.111.5.1,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55077,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=192.111.5.1,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55077,dport=443,3
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=52.148.148.114,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55081,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=52.148.148.114,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55081,dport=443,3
35,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=52.148.148.114,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55081,dport=443,3
23,49,11,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=10.5.0.27,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54706,dport=135,1
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=40.91.73.169,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55080,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=40.91.73.169,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55080,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=40.91.73.169,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55080,dport=443,3
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54964,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54964,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.2.65,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54964,dport=443,3
59,49,6,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.14.66,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54737,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.14.66,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54737,dport=443,3
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=170.114.14.66,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=54737,dport=443,3
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.96,mac=F4:46:37:8A:F5:57,protocol=udp,sport=57470,dport=53,1
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.96,mac=F4:46:37:8A:F5:57,protocol=udp,sport=57858,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.225,mac=F4:46:37:8A:F5:57,protocol=udp,sport=57858,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.96,mac=F4:46:37:8A:F5:57,protocol=udp,sport=55647,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.225,mac=F4:46:37:8A:F5:57,protocol=udp,sport=55647,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.96,mac=F4:46:37:8A:F5:57,protocol=udp,sport=63642,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.225,mac=F4:46:37:8A:F5:57,protocol=udp,sport=63642,dport=53,2
11,49,17,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=40.91.80.89,mac=F4:46:37:8A:F5:57,protocol=tcp,sport=55079,dport=443,1
11,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=146.112.129.133,mac=F4:46:37:8A:F5:57,protocol=udp,sport=4500,dport=4500,1
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.96,mac=F4:46:37:8A:F5:57,protocol=udp,sport=64199,dport=53,1
35,49,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.195,dst=172.18.14.225,mac=F4:46:37:8A:F5:57,protocol=udp,sport=64200,dport=53,1
