Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.122.46.102,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57501,dport=443,2
5,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.122.46.102,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57501,dport=443,2
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=62851,dport=53,1
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=54875,dport=53,1
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=192.111.5.0,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62663,dport=443,2
57,0,27,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=192.111.5.0,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62663,dport=443,2
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.203,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57561,dport=443,2
57,1,44,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.203,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57561,dport=443,2
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.205,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57544,dport=443,5
57,0,27,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.205,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57544,dport=443,5
5,7,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.205,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57544,dport=443,5
22,56,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.205,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57544,dport=443,5
39,4,14,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.205,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57544,dport=443,5
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.208,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57555,dport=443,3
57,0,27,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.208,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57555,dport=443,3
39,5,19,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.73.208,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57555,dport=443,3
12,18,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,5
57,0,27,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,5
5,7,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,5
22,56,15,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,5
39,4,14,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.57.146.163,mac=98:DD:60:64:27:5A,protocol=tcp,sport=56654,dport=5223,5
