Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
2,27,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52019,dst=192.111.5.0:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
3,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52032,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
3,53,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52041,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
4,28,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52046,dst=192.111.5.2:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
6,40,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52059,dst=192.111.5.2:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
7,51,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52070,dst=52.16.105.95:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
8,36,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52076,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
10,26,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52099,dst=52.16.105.95:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
13,1,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52114,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
13,54,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52126,dst=192.111.5.1:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
16,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52141,dst=192.111.5.2:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
17,27,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52155,dst=192.111.5.1:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
18,1,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52165,dst=192.111.5.1:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
19,36,6,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52177,dst=192.111.5.2:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
22,30,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52223,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
23,32,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52237,dst=192.111.5.2:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
26,36,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52301,dst=192.111.5.0:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
27,59,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52312,dst=52.16.166.193:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
28,55,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52320,dst=192.111.5.0:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
32,27,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52341,dst=52.16.105.95:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
33,52,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52365,dst=192.111.5.1:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
37,51,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52388,dst=192.111.5.0:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,24
