Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
5,7,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62649,dst=54.68.116.109:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://na1e-acc.services.adobe.com/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62651,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,5
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62652,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,5
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62653,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,5
22,58,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62660,dst=54.74.179.44:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,5
39,8,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57556,dst=34.250.67.152:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,5
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57546,dst=17.248.145.132:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://p47-acsegateway.icloud.com/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57548,dst=212.252.126.144:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://weather-data.apple.com/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57547,dst=104.76.201.144:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://c.apple.news/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57550,dst=212.252.126.129:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://stocks-data-service.apple.com/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57549,dst=104.117.192.75:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://stocks-sparkline.apple.com/...,0,1
5,8,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62654,dst=157.240.238.60:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://web.whatsapp.com/...,0,1
5,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57551,dst=17.253.73.208:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://gsp-ssl.ls.apple.com/...,0,3
22,57,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57552,dst=17.253.73.207:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://gsp-ssl.ls.apple.com/...,0,3
39,5,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57555,dst=17.253.73.208:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://gsp-ssl.ls.apple.com/...,0,3
5,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62655,dst=17.248.248.81:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://mask-api.icloud.com/...,0,3
5,10,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62657,dst=17.248.248.81:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://mask-api.icloud.com/...,0,3
5,11,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62658,dst=17.248.248.81:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://mask-api.icloud.com/...,0,3
5,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62656,dst=157.240.238.63:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://edge-chat.instagram.com/...,0,1
22,57,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62659,dst=192.111.5.0:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,1
22,57,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57553,dst=23.38.2.217:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://bag.itunes.apple.com/...,0,1
22,59,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62661,dst=13.225.235.65:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cdn-ffc.oobesaas.adobe.com/...,0,2
39,6,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62662,dst=13.32.4.64:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cdn-ffc.oobesaas.adobe.com/...,0,2
39,5,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57554,dst=17.248.145.164:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://p47-caldav.icloud.com/...,0,1
