Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
2,56,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64598,dst=20.50.201.195:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
7,55,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64669,dst=20.50.73.9:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
12,55,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64705,dst=13.69.116.104:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
17,55,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64785,dst=52.178.17.3:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
22,55,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64819,dst=20.50.201.200:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
27,55,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64867,dst=13.69.239.73:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
32,55,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64915,dst=13.69.239.73:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
37,55,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64953,dst=20.50.73.9:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
42,55,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:65001,dst=52.178.17.3:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,9
3,17,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64600,dst=52.113.194.132:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://config.teams.microsoft.com/...,0,2
28,32,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64879,dst=52.113.194.132:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://config.teams.microsoft.com/...,0,2
3,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64603,dst=52.18.187.166:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
5,54,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64620,dst=52.16.166.193:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
8,35,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64676,dst=52.16.105.95:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
13,29,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64710,dst=52.18.187.166:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
15,1,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64770,dst=52.18.187.166:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
18,36,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64791,dst=192.111.5.0:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
20,44,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64805,dst=52.16.166.193:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
23,36,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.111:64828,dst=52.16.166.193:443,mac=BC:09:1B:F0:66:C1,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,13
