Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
2,31,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55621,dst=13.69.109.130:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0
2,39,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55622,dst=146.112.62.20:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://ipl.opendns.com/...,0
2,39,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55623,dst=146.112.62.20:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://ipl.opendns.com/...,0
3,21,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55626,dst=20.50.201.195:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
3,45,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55630,dst=192.111.5.0:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
3,50,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55631,dst=137.135.216.188:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://winatp-gw-neu.microsoft.com/...,0
5,21,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55636,dst=13.69.239.74:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
5,25,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55639,dst=52.16.105.95:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
5,26,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55640,dst=20.106.86.13:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://settings-win.data.microsoft.com/...,0
7,11,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55650,dst=52.178.17.2:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
7,21,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55651,dst=52.178.17.2:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
