Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
3,47,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:51090,dst=185.60.218.53:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://static.whatsapp.net/...,0,1
36,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:41866,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
36,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:41868,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
36,17,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:41878,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
37,40,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:42014,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
39,1,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:42068,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
40,2,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:42080,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
41,4,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:42088,dst=216.239.38.120:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.google.com/...,0,7
36,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:46946,dst=216.58.206.202:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.googleapis.com/...,0,4
36,28,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:46986,dst=216.58.206.202:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.googleapis.com/...,0,4
37,44,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:47100,dst=216.58.206.202:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.googleapis.com/...,0,4
38,28,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:53940,dst=216.58.206.170:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://www.googleapis.com/...,0,4
36,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:51764,dst=142.250.187.138:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://deviceintegritytokens-pa.googleapis.com/...,0,2
37,46,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:51910,dst=142.250.187.138:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://deviceintegritytokens-pa.googleapis.com/...,0,2
36,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:53868,dst=34.107.165.5:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://dls.di.atlas.samsung.com/...,0,1
36,19,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.18.123.129:34884,dst=34.120.88.80:443,mac=4E:45:D9:75:C4:C9,request:,UNKNOWN,https://dls-udc.dqa.samsung.com/...,0,1
