Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
2,58,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50491,dst=20.50.201.195:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
3,59,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50498,dst=13.69.239.72:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
5,26,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50521,dst=13.69.239.74:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
7,30,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50533,dst=52.178.17.2:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
9,53,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50550,dst=20.50.80.209:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
11,57,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50576,dst=13.69.239.73:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
15,48,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50596,dst=20.50.73.10:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
17,53,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50645,dst=52.178.17.3:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
18,59,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50658,dst=13.69.109.130:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
19,53,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.179:50672,dst=13.69.109.130:443,mac=BC:09:1B:F8:BA:51,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,22
