Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
4,20,2,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:43252,dst=216.239.38.120:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://www.google.com/...,0
4,20,2,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:37656,dst=172.217.20.78:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://encrypted-tbn0.gstatic.com/...,0
4,28,3,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:34396,dst=172.217.169.170:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://content-autofill.googleapis.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:55498,dst=172.217.17.109:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://accounts.google.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:50596,dst=142.251.209.22:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://i.ytimg.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:37662,dst=172.217.20.78:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://encrypted-tbn0.gstatic.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:50590,dst=142.251.209.22:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://i.ytimg.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:50592,dst=142.251.209.22:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://i.ytimg.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:50594,dst=142.251.209.22:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://i.ytimg.com/...,0
4,29,8,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:50598,dst=142.251.209.22:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://i.ytimg.com/...,0
4,30,3,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:43768,dst=172.217.17.97:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://cdn.ampproject.org/...,0
4,30,3,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:43770,dst=172.217.17.97:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://cdn.ampproject.org/...,0
4,31,1,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:37812,dst=216.239.38.119:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://www.youtube.com/...,0
4,33,1,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:43502,dst=172.217.17.226:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://www.googleadservices.com/...,0
4,42,5,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:43504,dst=172.217.17.226:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://googleads.g.doubleclick.net/...,0
4,42,5,195.175.205.46.static.turktelekom.com.tr,2_B3,urls,src=192.168.151.147:33544,dst=142.250.187.134:443,mac=4C:02:20:07:7B:B3,request:,UNKNOWN,https://static.doubleclick.net/...,0
