Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
3,36,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56376,dst=20.50.73.9:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
4,15,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56378,dst=13.69.239.72:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0
4,15,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56379,dst=13.69.239.72:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
4,35,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56381,dst=13.69.239.72:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0
6,33,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56385,dst=20.50.80.210:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
6,35,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56389,dst=137.135.216.188:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://winatp-gw-neu.microsoft.com/...,0
6,35,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56388,dst=192.111.5.1:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
7,39,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56391,dst=13.69.116.104:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
8,36,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56394,dst=13.69.109.131:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
8,38,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56397,dst=52.18.187.166:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
9,35,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56399,dst=20.50.201.200:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0
10,39,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56402,dst=20.50.73.10:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
10,42,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56403,dst=136.143.189.136:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://us4-dms.zoho.com/...,0
10,43,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56406,dst=52.18.187.166:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
11,35,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56410,dst=52.18.187.166:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
11,35,7,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56411,dst=137.135.216.188:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://winatp-gw-neu.microsoft.com/...,0
12,44,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56414,dst=13.69.116.104:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
12,50,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56417,dst=192.111.5.1:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
12,55,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56421,dst=13.69.116.104:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
14,7,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56428,dst=93.184.221.240:80,mac=F4:46:37:8B:43:36,agent='Microsoft-CryptoAPI/10.0',request:,GET,http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?ee1114142be57742
14,35,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56432,dst=20.50.80.209:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0
14,38,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56435,dst=192.111.5.2:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
14,50,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56436,dst=20.50.80.209:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0
14,57,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56438,dst=52.143.81.222:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://array806.prod.do.dsp.mp.microsoft.com/...,0
