,Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
0,2,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64734,dport=53
1,2,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64735,dport=53
2,2,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=208.67.222.222,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64737,dport=443
3,2,27,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62035,dport=53
4,2,27,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=192.111.5.0,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52019,dport=443
5,2,27,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=64173,dport=53
6,2,27,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=61002,dport=53
7,2,28,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.85,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=64573,dport=443
8,2,29,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=20.199.120.151,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=52864,dport=443
9,2,29,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.96,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=51385,dport=53
10,2,29,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.225,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=51386,dport=53
11,2,29,5,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59909,dport=53
12,2,29,5,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=192.111.5.1,mac=F4:46:37:8B:66:DB,protocol=tcp,sport=59906,dport=443
13,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=59640,dport=53
14,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=59640,dport=53
15,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=40.126.32.69,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63389,dport=443
16,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55848,dport=53
17,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=192.111.5.2,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63392,dport=443
18,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52020,dport=135
19,2,30,9,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=60196,dport=53
