iter	Passed	Remaining
937	2439	161
938	2442	158
939	2444	156
940	2447	153
941	2449	150
942	2452	148
943	2454	145
944	2457	143
945	2459	140
946	2462	137
947	2464	135
948	2467	132
949	2469	129
950	2472	127
951	2474	124
952	2477	122
953	2479	119
954	2482	116
955	2484	114
956	2486	111
957	2489	109
958	2491	106
959	2494	103
960	2496	101
961	2499	98
962	2501	96
963	2504	93
964	2506	90
965	2509	88
966	2511	85
967	2514	83
968	2516	80
969	2519	77
970	2521	75
971	2523	72
972	2526	70
973	2529	67
974	2531	64
975	2534	62
976	2536	59
977	2539	57
978	2541	54
979	2544	51
980	2546	49
981	2549	46
982	2551	44
983	2554	41
984	2556	38
985	2559	36
986	2561	33
987	2564	31
988	2566	28
989	2569	25
990	2571	23
991	2574	20
992	2576	18
993	2578	15
994	2581	12
995	2584	10
996	2586	7
997	2589	5
998	2591	2
999	2594	0
